codes RNSR	Adresse	Provenance
200717526Z	Univ Lyon 1, CREATIS, CNRS UMR5220, INSA Lyon,Inserm U1044, F-69622 Villeurbanne, France	CNRS
200717526Z	Univ Lyon 1, INSA Lyon, CNRS UMR5220, CREATIS,Inserm U1044, F-69622 Villeurbanne, France	CNRS
200717526Z	Univ Lyon 1, CNRS, UMR5220, CREATIS, F-69622 Villeurbanne, France	CNRS
200717526Z	Univ Lyon 1, INSA Lyon, CNRS UMR 5220, CREATIS,Inserm U1044, F-69622 Villeurbanne, France	CNRS
200717526Z	CNRS, UMR 5220, CREATIS, F-69621 Villeurbanne, France	CNRS
200717526Z	CNRS, UMR 5220, F-69621 Villeurbanne, France	CNRS
200717526Z	Univ Lyon 1, Creatis, CNRS UMR, INSERM,INSA Lyon, F-69622 Villeurbanne, France	CNRS
200717526Z	Univ Lyon 1, CNRS UMR 5220, INSERM U1044, CREATIS,INSA Lyon, F-69621 Villeurbanne, France	CNRS
200717526Z	Univ Lyon, CNRS 5220, INSERM U1044, CREATIS, F-69621 Villeurbanne, France	CNRS
200717526Z	Univ Lyon 1, INSA LYON, CREATIS, CNRS UMR5220,INSERM U1044, F-69622 Villeurbanne, France	CNRS
200717526Z	Univ Lyon 1, INSA Lyon, Inserm U1044, CREATIS,CNRS UMR5220, F-69621 Villeurbanne, France	CNRS
200717526Z	Univ Lyon, INSA Lyon, Inserm U1044, CREATIS,CNRS UMR 5220, F-69100 Villeurbanne, France	CNRS
200717526Z	Univ Lyon 1, CREATIS, CNRS UMR5220, INSEAM U630,INSA Lyon, F-69622 Villeurbanne, France	CNRS
200717526Z	Univ Lyon, INSERM, CNRS, CREATIS, Villeurbanne, France	CNRS
200717526Z	Univ Lyon 1, CNRS, UMR 5220, CREATIS, F-69622 Villeurbanne, France	CNRS
200717526Z	Univ Lyon, CNRS, INSERM, CREATIS, Villeurbanne, France	CNRS
200718421X	Univ Paris Est, CNRS UMR 8205, UR Lab Navier CERMES, Ecole Ponts Paris Tech, F-77455 Champs Sur Marne 2, Marne La Vallee, France	CNRS
200718421X	CNRS, UMR 8205, Unite Rech Navier, F-77455 Champs Sur Marne, France	CNRS
200718421X	Univ Paris Est, Lab Navier ENPC IFSTTAR CNRS, F-77420 Champs Sur Marne, France	CNRS
200718421X	Univ Paris Est, ENPC IFSTTAR CNRS, Lab Navier, Champs Sur Marne, France	CNRS
200718421X	Univ Paris Est, Lab Navier, UMR CNRS 8205, Ecole Ponts ParisTech IFSTTAR Cite Descartes, F-77420 Champs Sur Marne, France	CNRS
200718421X	ENPC, UMR ENPC IFSTTAR CNRS, Lab Navier, F-77455 Champs Sur Marne 2, Mlv, France	CNRS
200718421X	Univ Paris Est, Lab Navier, Ecole Ponts ParisTech, IFSTTAR,CNRS,UMR 8205, F-77455 Champs Sur Marne, France	CNRS
200718421X	Univ Paris Est, Lab Navier, Ecole Ponts ParisTech, IFSTTARcite Descartes,UMR CNRS 8205, F-77420 Champs Sur Marne, France	CNRS
200718421X	Univ Paris Est, Lab Navier UMR CNRS 8205, F-77420 Champs Sur Marne, France	CNRS
200718421X	UMR 8205 CNRS, Unite Rech Navier, Champs Sur Marne, France	CNRS
200718421X	Univ Paris Est, CNRS, Ecole Ponts ParisTech, Lab Navier,UMR 8205, F-77454 Champs Sur Marne 2, France	CNRS
200718421X	Univ Paris Est, CNRS, Ecole Ponts ParisTech, Lab Navier,UMR 8205, F-77420 Champs Sur Marne, France	CNRS
200718421X	Univ Paris Est, CNRS ENPC IFSTTAR, Lab Navier, UMR 8205, F-77420 Champs Sur Marne, France	CNRS
200718421X	Univ Paris Est, ENPC ParisTech, CNRS, IFSTTAR,Lab Navier,UMR 8205, F-77420 Champs Sur Marne, France	CNRS
200718421X	Univ Paris Est, Lab Navier, Ecole Ponts ParisTech IFSTTAR CNRS UMR 8205, F-77455 Champs Sur Marne, France	CNRS
200718421X	Ecole Ponts ParisTech, CERMES, CNRS, UMR 8205, Champs Sur Marne, France	CNRS
200810697X	Univ Rouen, FR 3038, INSA Rouen, CNRS, F-76821 Mont St Aignan, France	CNRS
200810697X	Univ Rouen, INSA Rouen, CNRS, FR 3038, F-76821 Mont St Aignan, France	CNRS
200810697X	Univ Rouen, Normandie Univ, INSA Rouen, CNRS,IRCOF,FR 3038, F-76821 Mont St Aignan, France	CNRS
200810872M	CNRS UMS 3113, IUEM, F-29280 Plouzane, France	CNRS
200810872M	CNRS, UMS 3113, IUEM, F-29280 Plouzane, France	CNRS
200810872M	Univ Bretagne Occidentale, CNRS UMS 3113, Inst Univ Europeen Mer, F-29280 Plouzane, France	CNRS
200810872M	Univ Brest, LabexMER, CNRS, Inst Univ Europeen Mer,UMS 3113, F-29280 Plouzane, France	CNRS
200810872M	Univ Europeenne Bretagne, Univ Brest, IUEM, UMS CNRS 3113, F-29280 Plouzane, France	CNRS
200812273K	Univ Nantes, CEISAM, UMR CNRS 6230, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes, Univ LUNAM, CNRS, UMR 6230, F-44322 Nantes 03, France	CNRS
200812273K	Univ Nantes, CNRS, UMR 6230, Lab CEISAM, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes, Lab CEISAM, CNRS, UMR 6230, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes, Lab CEISAM, UMR 6230, CNRS, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes, CEISAM UMR CNRS 6230, F-44322 Nantes, France	CNRS
200812273K	Univ Nantes, CNRS, CEISAM, UMR 6230, F-44322 Nantes, France	CNRS
200812273K	Univ Nantes, UMR CNRS 6230, CEISAM, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes 2, CEISAM, UMR CNRS 6230, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes, UMR CNRS 6230, Lab CEISAM, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes, CNRS 6230, Lab CEISAM, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes, CNRS, CEISAM UMR 6230, F-44322 Nantes 03, France	CNRS
200812273K	Univ Nantes, UNAM, CNRS, UMR 6230, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes, CEISAM, CNRS, UMR 6230, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes, CEISAM UMR CNRS 6230, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes, CNRS, CEISAM, F-44322 Nantes, France	CNRS
200812273K	Univ Nantes, CNRS, CEISAM, UMR 6230, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes, CNRS, Lab CEISAM UMR 6230, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes, Lab CEISAM UMR CNRS 6230, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes, CEISAM, UMR CNRS 6230, F-44322 Nantes, France	CNRS
200812273K	CNRS, UMR 6230, Lab CEISAM, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes, Lab CEISAM, UMR CNRS 6230, F-44322 Nantes 3, France	CNRS
200812273K	Univ Nantes, CNRS, CEISAM UMR 6230, F-44322 Nantes, France	CNRS
200812273K	Univ Nantes, CEISAM, CNRS, F-44322 Nantes 3, France	CNRS
200812273K	Univ LUNAM, CNRS, CEISAM, Univ Nantes, F-44322 Nantes 3, France	CNRS
200812285Y	Univ Franche Comte, INRA, CNRS UMR6249, Chronoenvironm Dept, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, UMR UFC CNRS USC INRA 6249, Dept Chronoenvironm, F-25030 Besancon, France	CNRS
200812285Y	Univ Hosp Besancon, CNRS, Dept Resp Dis, UMR Chronoenvironm 6249, Besancon, France	CNRS
200812285Y	Univ Franche Comte, LCPR AC, UMR CNRS Chrono Environm 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, UMR CNRS Chrono Environm 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS, UMR 6249, F-25000 Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS, UMR 6249, Lab Chronoenvironm, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, UMR CNRS Chronoenvironm 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, UMR CNRS 6249, Lab Chronoenvironm, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, Lab Chronoenvironm, UMR CNRS 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, Lab Chronoenvironm, CNRS, UMR 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, UMR UFC CNRS Usc INRA 6249, Chronoenvironm Lab, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS, UMR 6249, Usc,INRA, F-25030 Besancon, France	CNRS
200812285Y	Univ Hosp Besancon, CNRS, UMR Chrono Environm 6249, Dept Resp Dis, Besancon, France	CNRS
200812285Y	Univ Franche Comte, UMR UFC CNRS Aff INRA 6249, Dept Chronoenvironm, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, Chronoenvironm UMR CNRS 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, UMR Chronoenvironm UFC CNRS USC INRA 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS, Chronoenvironm Lab, UMR 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS UMR Chronoenvironm 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS Usc, Lab Chronoenvironm, UMR 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, Res Team, CNRS, UMR 6249, FR-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, Usc INRA, CNRS, UMR 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, Lab Chrono Environm, UMR CNRS 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, UMR CNRS Chronoenvironm, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS, UMR 6249, FR-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS, Chronoenvironm UMR6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS, UMR 6249, Lab Chronoenvironm, Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS Usc INRA, UMR 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS, Lab Chronoenvironm, UFR ST,UMR 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, Chronoenvironm UMR CNRS, U6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, Ctr Hosp Univ, UMR 6249 CNRS Chronoenvironnement, Lab Hyg Hosp, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS, UMR 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS, Lab Chronoenvironm, UMR 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, UMR CNRS 6249, Lab Chronoenvironm, UFR ST, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte CNRS Usc INRA, UMR 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS, UMR Chronoenvironm 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, Dept Chrono Environm, UMR UFC CNRS USC INRA 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS, UMR Chronoenvironm USC INRA 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, INRA, CNRS 6249, Dept Chronoenvironm,UMR UFC, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, CNRS Chronoenvironm 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, Phys Mol Lab, CNRS, Chrono Environm Unite Mixte Rech 6249, F-25030 Besancon, France	CNRS
200812285Y	Univ Franche Comte, UMR CNRS 6249, Lab Chrono Environm, F-25000 Besancon, France	CNRS
200812285Y	UMR CNRS 6249, Lab Chronoenvironm, Besancon, France	CNRS
200812285Y	Univ Franche Comte, Lab Chronoenvironm, UMR 6249, CNRS, F-25030 Besancon, France	CNRS
200812287A	Univ Rennes 1, CNRS, UMR 6251, Inst Phys Rennes, Rennes, France	CNRS
200812287A	Univ Rennes 1, CNRS, UMR 6251, IPR, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, IPR, UMR 6251, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, Inst Phys Rennes, CNRS, UMR 6251, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, Univ Rennes, Inst Phys Rennes, CNRS,UMR 6251, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, CNRS, UMR 6251, Inst Phys Rennes, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, CNRS, Inst Phys Rennes, UMR 6251, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, UMR CNRS IPR 6251, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, UMR CNRS 6251, IPR, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, IPR, CNRS, UMR CNRS UR1 6251, F-35000 Rennes, France	CNRS
200812287A	Inst Phys Rennes, CNRS, UMR 6251, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, CNRS UMR 6251, Inst Phys Rennes, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, Inst Phys Rennes, UMR 6251, CNRS UR1,Dept Phys Mol, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, Inst Phys Rennes, UMR 6251, CNRS, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, Inst Phys Rennes, CNRS, UMR 6251, Rennes, France	CNRS
200812287A	Univ Rennes 1, Inst Phys Rennes, CNRS UMR 6251, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, CNRS, Inst Phys Rennes, UMR 6251, Rennes, France	CNRS
200812287A	Univ Rennes 1, CNRS, Inst Phys Rennes UMR 6251, F-35042 Rennes, France	CNRS
200812287A	CNRS, Inst Phys Rennes, UMR 6251, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, CNRS, UMR 6251, IPR, Rennes, France	CNRS
200812287A	Univ Rennes 1, IPR, UMR CNRS 6251, F-35000 Rennes, France	CNRS
200812287A	Univ Rennes 1, CNRS UMR 6251, Inst Phys Rennes, F-35014 Rennes, France	CNRS
200812287A	Univ Rennes 1, CNRS, Inst Phys Rennes, Dept Phys Mol,UMR 6251, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, IPR, UMR CNRS 6251, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, Univ Europeenne Bretagne, Inst Phys Rennes, CNRS,UMR 6251, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, IPR, CNRS, UMR 6251, F-35042 Rennes, France	CNRS
200812287A	CNRS, UMR 6251, Inst Phys Rennes, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, CNRS, IPR, UMR 6251, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, UMR CNRS UR1 6251, IPR, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, IPR UMR CNRS 6251, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, Inst Phys Rennes, UR1, CNRS UMR 6251, F-35042 Rennes, France	CNRS
200812287A	CNRS, UMR 6251, Dept Mol Phys, Inst Phys, F-35042 Rennes, France	CNRS
200812287A	Univ Rennes 1, Inst Phys Rennes, CNRS UMR 6251, Rennes, France	CNRS
200812288B	ENSICAEN, CIMAP, Unite Mixte, CEACNRS, F-14070 Caen 5, France	CNRS
200812288B	Univ Caen Basse Normandie, ENSICAEN, CIMAP, CEA,UMR CNRS 6252, F-14050 Caen 4, France	CNRS
200812288B	Univ Caen Basse Normandie, ENSICAEN, CIMAP, CEA,UMR CNRS 6252, F-14050 Caen, France	CNRS
200812288B	Univ Caen, CIMAP, CEA, CNRS, F-14070 Caen 5, France	CNRS
200812288B	Univ Caen, CNRS, ENSICAEN, CIMAP, F-14050 Caen, France	CNRS
200812288B	CIMAP, CNRS CEA ENSICAEN UCBN, F-14050 Caen 4, France	CNRS
200812288B	CEA CNRS ENSICAEN UCBN, CIMAP, F-14070 Caen 5, France	CNRS
200812288B	Univ Caen Basse Normandie, CIMAP, CEA, CNRS,ENSICAEN,UMR 6252, F-14070 Caen 05, France	CNRS
200812288B	UCBN, ENSICAEN, CIMAP, CEA,CNRS,UMR 6252, F-14070 Caen 5, France	CNRS
200812288B	CEA, CIMAP UMR 6252, CNRS, ENSICAEN,UCBN, F-14070 Caen 5, France	CNRS
200812288B	Univ Caen Basse Normandie, ENSICAEN, CNRS, CEA,CIMAP,UMR 6252, F-14070 Caen 05, France	CNRS
200812288B	Unicaen, ENSICAEN, CNRS, CEA,CIMAP,UMR 6252, F-14070 Caen 5, France	CNRS
200812288B	UCBN, ENSICAEN, CNRS, CIMAP,CEA, F-14070 Caen 5, France	CNRS
200812288B	CEA CNRS ENSICAEN Unicaen, CIMAP, UMR 6252, F-14070 Caen 05, France	CNRS
200812288B	CEA CNRS ENSICAEN UCBN, UMR 6252, CIMAP, F-14070 Caen 5, France	CNRS
200812288B	CIMAP CEA CNRS ENSICAEN UCBN, F-14050 Caen 4, France	CNRS
200812288B	CEA, CNRS, CIMAP, ENSICAEN, F-14070 Caen 5, France	CNRS
200812288B	CEA, CIMAP, CNRS, ENSICAEN,UCBN,UMR 6252, F-14050 Caen, France	CNRS
200812288B	CIMAP, Unite Mixte CEA CNRS ENSICAEN UCBN 6252, F-14070 Caen 05, France	CNRS
200812288B	Univ Basse Normandie, ENSICAEN, CNRS UMR 6252, Lab CIMAP,CEA, F-14050 Caen 4, France	CNRS
200812288B	UCBN, CEA, ENSICAEN, CIMAP,UMR 6252,CNRS, F-14050 Caen, France	CNRS
200812288B	Univ Caen Basse Normandie, ENSICAEN, CNRS, CEA,CIMAP,UMR 6252, Caen, France	CNRS
200812294H	Univ Rouen, CNRS, Dept Geog, UMR IDEES, F-76130 Mont St Aignan, France	CNRS
200816911B	CNRS, UMR 6270, FR 3038, F-76821 Mont St Aignan, France	CNRS
200816911B	Univ Rouen, CNRS, UMR 6270, Lab PBS,FR 3038, F-76821 Mont St Aignan, France	CNRS
200816911B	Univ Rouen, CNRS UMR 6270, PBS, F-76821 Mont St Aignan, France	CNRS
200816947R	IFREMER, CNRS, LPO UMR 6523, IRD,UBO, Plouzane, France	CNRS
200816947R	IFREMER, UMR 6523, Lab Phys Oceans, CNRS,IRD,UBO, Plouzane, France	CNRS
200816947R	IFREMER, Lab Phys Oceans, CNRS, UBO,IRD,UMR 6523, Plouzane, France	CNRS
200816948S	IFREMER, UMR 6539, CNRS UBO IRD, Lab Physiol Invertebres, F-29280 Plouzane, France	CNRS
200817616T	CNRS ICARE, F-45071 Orleans 2, France	CNRS
200817616T	CNRS, ICARE, F-45071 Orleans 2, France	CNRS
200817616T	CNRS ICARE, F-45071 Orleans, France	CNRS
200817616T	CNRS, ICARE, UPR 3021, F-45071 Orleans 2, France	CNRS
200817616T	CNRS, ICARE, UPR 3021, F-45071 Orleans, France	CNRS
200817616T	CNRS, ICARE, F-45071 Orleans, France	CNRS
200817616T	CNRS INSIS, Icare, F-45071 Orleans 2, France	CNRS
200817616T	ICARE CNRS, F-45071 Orleans 02, France	CNRS
200817616T	Univ Orleans, ICARE UPR3021, CNRS, F-45071 Orleans, France	CNRS
200817616T	CNRS, ICARE, Ctr Natl Rech Sci, F-45071 Orleans 02, France	CNRS
200918434C	Univ Paris 06, CNRS, LATMOS Lab Atmospheres Milieux Observat Spatiales, F-78280 Guyancourt, France	CNRS
200918434C	LATMOS CNRS, F-78280 Guyancourt, France	CNRS
200918434C	Univ Versailles St Quentin En Yvelines, LATMOS, CNRS UPMC UVSQ UMR 8190, F-78280 Guyancourt, France	CNRS
200918434C	UVSQ CNRS Paris VI, UMR 8190, Atmospheres Lab, Observat Spatiales LATMOS, F-78280 Guyancourt, France	CNRS
200918434C	Univ Paris 06, CNRS, LATMOS, UPMC, F-78280 Guyancourt, France	CNRS
200918434C	CNRS LATMOS, F-78280 Guyancourt, France	CNRS
200918434C	Univ Versailles St Quentin, INSU CNRS, LATMOS, F-78200 Guyancourt, France	CNRS
200918434C	Univ Paris 06, Univ Versailles St Quentin, UMR CNRS 8190, LATMOS, Guyancourt, France	CNRS
200918434C	Univ Paris 06, Sorbonne Univ, Univ Versailles St Quentin En Yvelines, CNRS INSU,LATMOS 1PSL, F-78280 Guyancourt, France	CNRS
200918434C	Univ Paris 06, Univ Versailles St Quentin, CNRS, LATMOS, F-78280 Guyancourt, France	CNRS
200918434C	Univ Paris 06, Univ Versailles St Quentin En Yvelines INSU, CNRS UMR 8190, Lab Atmospheres,Observ Spatiales LATMOS, F-78280 Guyancourt, France	CNRS
200918434C	Univ Versailles St Quentin, LATMOS, INSU, CNRS, F-78200 Guyancourt, France	CNRS
200918434C	Univ Versailles St Quentin, CNRS, LATMOS, Guyancourt, France	CNRS
200918434C	Univ Versailles St Quentin, LATMOS, CNRS, Guyancourt, France	CNRS
200918434C	LATMOS CNRS, Guyancourt, France	CNRS
200918434C	Univ Versailles St Quentin, Univ Paris 06, CNRS, LATMOS, F-78280 Guyancourt, France	CNRS
200918434C	CNRS, LATMOS Lab Atmospheres Milieux Observat Spatiales, F-78280 Guyancourt, France	CNRS
200918434C	CNRS UVSQ, LATMOS, F-78280 Guyancourt, France	CNRS
200918434C	LATMOS CNRS UVSQ, F-78280 Guyancourt, France	CNRS
200918450V	Univ Paris 06, ISTeP, CNRS UMR 7193, F-75252 Paris 05, France	CNRS
200918450V	UPMC Univ Paris 6, CNRS UMR 7193, ISTeP, F-75252 Paris, France	CNRS
200918450V	Univ Paris 06, CNRS, UMR 7193, Inst Sci Terre Paris ISTeP, F-75252 Paris 05, France	CNRS
200918450V	CNRS, UMR 7193, ISTeP, F-75005 Paris, France	CNRS
200918450V	Univ Paris 06, UMR CNRS 7193, ISTeP, F-75005 Paris, France	CNRS
200918450V	CNRS, UMR CNRS 7193, ISTeP, F-75005 Paris, France	CNRS
200918450V	Univ Paris 06, CNRS, ISTeP Inst Sci Terre Paris, UMR 7193, F-75252 Paris 05, France	CNRS
200918450V	Univ Paris 06, ISTeP, CNRS, UMR 7193, F-75252 Paris 05, France	CNRS
200918450V	CNRS, UMR 7193, F-75005 Paris, France	CNRS
200918450V	Univ Paris 06, Sorbonne Univ, ISTeP, UMR 7193, Paris, France	CNRS
200918450V	CNRS, UMR 7193, Paris, France	CNRS
200918450V	Univ Paris 06, CNRS UMR 7193, Inst Sci Terre Paris, F-75005 Paris, France	CNRS
200918450V	Univ Paris 06, Inst Sci Terre Paris ISTEP, CNRS, UMR 7193, F-75252 Paris 05, France	CNRS
200918450V	Univ Paris 06, Sorbonne Univ, ISTEP, UMR 7193, F-75005 Paris, France	CNRS
200918450V	CNRS, UMR ISTeP 7193, F-75005 Paris, France	CNRS
200918450V	Univ Paris 06, CNRS, ISTeP, UMR 7193, Paris, France	CNRS
200918450V	Univ Paris 06, ISTeP, CNRS, F-75252 Paris, France	CNRS
200918450V	Univ Paris 06, CNRS, Inst Sci Terre Paris iSTeP, UMR 7193, F-75252 Paris 05, France	CNRS
200918450V	Sorbonne Univ, Univ Paris 06, UMR CNRS 7193, Inst Sci Terre Paris ISTeP, F-75005 Paris, France	CNRS
200918450V	Sorbonne Univ, Univ Paris 06, CNRS, Inst Sci Terre Paris ISTeP,UMR 7193, F-75005 Paris, France	CNRS
200918450V	Univ Paris 06, ISTEP, UMR CNRS 7193, F-75252 Paris 05, France	CNRS
200918450V	Univ Paris 06, CNRS, Inst Sci Terre Paris, UMR 7193, F-75005 Paris, France	CNRS
200918450V	ISTeP, CNRS, UMR 7193, F-75005 Paris, France	CNRS
200918450V	Sorbonne Univ, Univ Paris 06, UMR 7193, ISTEP, F-75005 Paris, France	CNRS
200918450V	Univ Paris 06, CNRS, Sorbonne Univ, ISTEP,UMR 7193, Paris 05, France	CNRS
200918450V	Inst Sci Terre Paris ISTeP, CNRS, Paris, France	CNRS
200918450V	Univ Paris 06, Inst Sci Terre Paris ISTeP, Sorbonne Univ, UMR 7193, Paris, France	CNRS
200918450V	CNRS, Inst Sci Terre Paris ISTeP, UMR 7193, Paris, France	CNRS
200918450V	UPMC Univ Paris 06, Sorbonne Univ, ISTeP, UMR 7193, F-75005 Paris, France	CNRS
200918450V	Univ Paris 06, Sorbonne Univ, UMR 7193, ISTEP, F-75005 Paris, France	CNRS
200918450V	Univ Paris 06, Sorbonne Univ, Museum Natl Hist Nat,ISTeP, UMR CNRS 7193, F-75252 Paris 05, France	CNRS
200918450V	Univ Paris 06, Sorbonne Univ, UMR 7193, Inst Sci Terre Paris ISTeP, F-75005 Paris, France	CNRS
200918450V	CNRS, UMR 7193, Inst Sci Terre Paris ISTeP, F-75005 Paris, France	CNRS
200918450V	Univ Paris 06, UMR 7193, ISTeP, Sorbonne Univ, F-75005 Paris, France	CNRS
200918450V	Univ Paris 06, Sorbonne Univ, UMR 7193, ISTeP, Paris, France	CNRS
200918450V	CNRS, UMR 7193, ISTeP, Paris, France	CNRS
200918450V	CNRS, ISTEP, UMR 7193, Paris, France	CNRS
200918450V	Inst Sci Terre Paris, CNRS, UMR 7193, Paris, France	CNRS
200918450V	Univ Paris 06, ISTeP, CNRS, UMR 7193, F-75005 Paris, France	CNRS
200918450V	Univ Paris 06, Univ Sorbonne, Inst Sci Terre Paris iSTeP, CNRS,UMR 7193, F-75005 Paris, France	CNRS
200918450V	CNRS, Inst Sci Terre Paris iSTeP, UMR 7193, F-75005 Paris, France	CNRS
200918450V	Univ Paris 06, Sorbonne Univ, Inst Sci Terre Paris iSTeP, UMR 7193, F-75005 Paris, France	CNRS
200918450V	ISTeP, UMR 7193, CNRS, Paris, France	CNRS
200918450V	Inst Sci Terre Paris iSTeP, CNRS, UMR 7193, F-75005 Paris, France	CNRS
200918450V	Univ Paris 06, UMR CNRS 7193, Inst Sci Terre Paris ISTEP, F-75252 Paris 05, France	CNRS
200918450V	CNRS UMR 7193, ISTEP, Paris, France	CNRS
200918450V	CNRS, CNRS, Inst Sci Terre Paris ISTeP, F-75005 Paris, France	CNRS
200918450V	Sorbonne Univ, Univ Paris 06, Inst Sci Terre Paris, UMR 7193,ISTEP, F-75005 Paris, France	CNRS
200918450V	UPMC CNRS, ISTEP, Paris, France	CNRS
200918450V	CNRS UPMC, ISTeP, UMR 7193, F-75252 Paris 5, France	CNRS
200918450V	CNRS, ISTeP UMR7193, F-75005 Paris, France	CNRS
200918450V	CNRS, Inst Sci Terre Paris iSTeP, Paris, France	CNRS
200918450V	Univ Paris 06, Sorbonne Univ, UMR 7193, Inst Sci Terre Paris iSTeP, Paris, France	CNRS
200918450V	CNRS, UMR 7193, Inst Sci Terre Paris iSTeP, Paris, France	CNRS
200918462H	Univ Lorraine, CNRS, Inst Jean Lamour, UMR 7198, F-54011 Nancy, France	CNRS
200918462H	Univ Lorraine, Inst Jean Lamour, CNRS, UMR 7198, F-54506 Vandoeuvre Les Nancy, France	CNRS
200918462H	Univ Lorraine, CNRS, UMR 7198, Inst Jean Lamour, F-54011 Nancy, France	CNRS
200918462H	Univ Lorraine, CNRS, Inst Jean Lamour, UMR 7198, F-54506 Vandoeuvre Les Nancy, France	CNRS
200918462H	Univ Lorraine, Inst Jean Lamour, CNRS LabEx DAMAS, UMR 7198, F-54011 Nancy, France	CNRS
200918462H	Univ Lorraine, Lab Excellence DAMAS, Inst Jean Lamour, CNRS,UMR 7198, F-54011 Nancy, France	CNRS
